ID,Label
ck7oha0rtasyp0731avys73x1,"{""points"":[{""geometry"":[{""x"":403,""y"":495},{""x"":393,""y"":719},{""x"":255,""y"":714},{""x"":259,""y"":489}]}]}"
ck7ohewgtq0g60807ftlld3qm,"{""points"":[{""geometry"":[{""x"":454,""y"":622},{""x"":482,""y"":817},{""x"":353,""y"":828},{""x"":335,""y"":632}]}]}"
ck7ohgam7ts7b0866fqx2ujak,"{""points"":[{""geometry"":[{""x"":374,""y"":568},{""x"":381,""y"":772},{""x"":243,""y"":775},{""x"":245,""y"":567}]}]}"
ck7ohh9iluh900874884ves51,"{""points"":[{""geometry"":[{""x"":418,""y"":366},{""x"":424,""y"":654},{""x"":245,""y"":659},{""x"":236,""y"":367}]}]}"
ck7ohkmuxqa0u0752sgrodbcp,"{""points"":[{""geometry"":[{""x"":460,""y"":520},{""x"":470,""y"":770},{""x"":311,""y"":781},{""x"":296,""y"":529}]}]}"
ck7ohszc7qiad08074ci09s9o,"{""points"":[{""geometry"":[{""x"":374,""y"":527},{""x"":371,""y"":712},{""x"":243,""y"":711},{""x"":251,""y"":523}]}]}"
ck7oiv74svp5n0866w8dp5j1e,"{""points"":[{""geometry"":[{""x"":534,""y"":463},{""x"":509,""y"":722},{""x"":340,""y"":702},{""x"":370,""y"":448}]}]}"
ck7oiwhq7czc50731tgw8m4qn,"{""points"":[{""geometry"":[{""x"":507,""y"":636},{""x"":379,""y"":930},{""x"":195,""y"":841},{""x"":330,""y"":553}]}]}"
ck7oixq4ws3ab0807dat6ya2z,"{""points"":[{""geometry"":[{""x"":443,""y"":475},{""x"":453,""y"":744},{""x"":286,""y"":750},{""x"":271,""y"":485}]}]}"
ck7oj08v3962z0758gtpag8ba,"{""points"":[{""geometry"":[{""x"":442,""y"":475},{""x"":453,""y"":746},{""x"":283,""y"":752},{""x"":271,""y"":484}]}]}"
ck7oj1jwhvx8108668l55m2xu,"{""points"":[{""geometry"":[{""x"":390,""y"":622},{""x"":374,""y"":790},{""x"":260,""y"":776},{""x"":288,""y"":610}]}]}"
ck7oj293ts9720807j9wd04em,"{""points"":[{""geometry"":[{""x"":449,""y"":571},{""x"":445,""y"":889},{""x"":245,""y"":890},{""x"":245,""y"":571}]}]}"
ck7oj50dcscij0807njjf9f0q,"{""points"":[{""geometry"":[{""x"":455,""y"":398},{""x"":467,""y"":758},{""x"":245,""y"":770},{""x"":229,""y"":401}]}]}"
ck7oj71s99ex20758ue5sdtel,"{""points"":[{""geometry"":[{""x"":506,""y"":428},{""x"":502,""y"":843},{""x"":247,""y"":852},{""x"":226,""y"":437}]}]}"
ck7oj7udtw54m0866h402dve9,"{""points"":[{""geometry"":[{""x"":430,""y"":417},{""x"":458,""y"":624},{""x"":333,""y"":645},{""x"":301,""y"":441}]}]}"
