ID,point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7
ck7oha0rtasyp0731avys73x1,160,22,150,216,30,211,35,17
ck7ohewgtq0g60807ftlld3qm,176,1,205,202,70,213,52,13
ck7ohgam7ts7b0866fqx2ujak,165,36,169,197,62,197,62,36
ck7ohh9iluh900874884ves51,175,11,179,189,65,192,61,11
ck7ohkmuxqa0u0752sgrodbcp,165,9,173,191,55,200,42,14
ck7ohszc7qiad08074ci09s9o,163,21,159,171,56,171,61,17
ck7oiv74svp5n0866w8dp5j1e,176,31,159,221,32,204,54,18
ck7oiwhq7czc50731tgw8m4qn,190,62,124,214,29,169,97,17
ck7oixq4ws3ab0807dat6ya2z,175,5,183,181,74,185,63,9
ck7oj08v3962z0758gtpag8ba,165,7,172,189,56,193,49,11
ck7oj1jwhvx8108668l55m2xu,157,37,143,172,54,158,76,28
ck7oj293ts9720807j9wd04em,159,11,156,178,51,178,51,11
ck7oj50dcscij0807njjf9f0q,180,13,186,215,62,221,55,16
ck7oj71s99ex20758ue5sdtel,161,16,158,192,52,197,42,21
ck7oj7udtw54m0866h402dve9,150,25,173,197,70,211,42,48
ck7oj8ofrsi7i0752ncw4m7rt,149,55,143,218,37,212,48,50
ck7oj9gl2dfxa0731k0cr53qx,178,39,125,193,27,157,83,3
ck7oja1409igw0758k1aghw3n,144,36,115,165,30,145,60,16
ck7ojanayw8pq08661mscayk4,200,182,47,161,58,70,205,75
ck7ojb8icwybm0874aogyj4tq,164,13,184,210,51,222,44,16
ck7ojc4iesma7075244iqjesj,151,29,173,202,63,217,41,48
ck7ojcpocn99l0877tatzh4sd,186,6,182,192,61,192,65,6
ck7ojdbm1wbrz0866azt0uoh8,174,4,162,180,50,176,58,0
ck7ojdt9jx1b30874r3rb6fvg,171,29,171,162,85,162,85,29
ck7oje7eunb0q0877exfhndv6,152,17,152,186,47,186,47,17
ck7ojesvcx2ct0874kfl2sesm,177,20,168,181,63,172,79,12
ck7ojf9a3soyw0807ryu6ewwz,180,4,180,187,68,187,62,4
ck7ojg0vr9pu60758drm4n1db,161,22,138,197,28,189,39,11
ck7ojgyvtx4uo08740n6fm4cz,168,27,172,192,69,196,62,31
ck7ojhevwdp8e0731w82b1j1o,167,3,167,201,49,201,40,7
ck7ojii874uw408122ml08a9j,167,4,189,174,75,186,60,11
ck7ojj24sssqn08074ge568zc,156,19,156,162,68,162,71,19
ck7ojjg4bwi4008666fe1n7k0,144,24,150,198,50,204,32,36
ck7ojju48ngr508777rgtf0s7,153,10,168,180,48,180,48,14
ck7ojkaeisumg0752tbh3socn,170,12,163,205,43,198,46,8
ck7ojkz1vnhuc0877hnccevj1,151,9,164,198,39,200,42,7
ck7ojmxt2wlf00866pl92xz5r,164,14,157,184,49,177,59,11
ck7ojnemw4zkw0812lqmbgzp8,167,9,173,195,52,200,47,9
ck7ojo5rksycs0752anbxpyon,181,17,165,170,67,154,91,5
ck7ojolzzxc770874mw3xy5nj,167,23,167,200,50,200,50,23
ck7ojp4iedwlc0731p4g9ml8q,153,15,147,166,54,160,64,9
ck7ojpls2sz6x0807edcj9pc7,179,12,174,198,54,187,70,12
ck7ojq9buxdzm0874ke4e5u7v,184,2,184,203,58,206,55,9
ck7ojqx6ewpiq08669pajw0ub,174,19,169,189,66,181,70,15
ck7ojrwl1t2fv0752lnxht64k,183,27,180,219,59,215,63,27
ck7ojs9l7wqw70866z7fqwyg7,199,36,182,209,76,198,93,25
ck7ojt0b9a38s0758ml2eyxbs,166,24,143,213,31,206,39,16
ck7ojtw55nrfs0877qimuf40a,208,149,18,158,18,37,203,37
ck7ojv4azwuog0866nrrdtust,168,8,161,219,33,219,40,1
ck7ojvsvve4uc0731zkdr5rha,157,43,144,202,40,195,57,29
ck7ojwmcexm340874txf8fgsf,169,11,172,211,46,211,43,17
ck7ojx75v5bu10812iztuf2de,169,29,161,213,49,213,49,25
ck7ojxs8gnxg20877ahoiz30t,151,27,151,183,56,186,50,34
ck7ojy8artabf0807os5rgedt,170,0,170,151,71,151,71,0
ck7ojyov5xp5w087417egua32,176,21,172,202,50,190,66,14
ck7ojzaf2tbpa0807i7w92vqk,146,16,156,185,44,189,41,23
ck7ojznlv5f540812tozdgxr2,172,45,167,212,57,207,62,40
ck7ok02gzxr9n08747ojvfwt8,187,42,130,181,45,146,102,8
ck7ok1i0f5ht80812msdgu3ns,177,6,180,201,57,205,47,9
ck7ok3s5tegd60731z6wzwn6z,197,3,197,218,59,218,63,3
ck7ok4w0zajw80758eqh17b8i,165,21,162,183,58,180,61,18
ck7ok5gdox9110866rqo8gyga,142,50,146,185,58,185,58,50
ck7ok5y9xx9lw0866ed7gtb6w,147,34,161,196,48,199,48,38
ck7ok6lqnek0t0731o54eulq4,162,30,158,215,39,210,52,21
ck7ok81oytoof0752f597xmin,169,27,169,203,52,198,52,27
ck7ok9bxutqj80752j8dbg9ik,172,32,146,204,40,190,62,17
ck7ok9te5oda808775m54s2sb,148,27,153,176,57,182,52,27
ck7okalbw5txa08124old5j3i,176,9,180,212,48,215,48,13
ck7okbh25og9h0877c1iqc2hb,175,36,145,184,48,163,77,15
ck7okcqxly8zs08749d0yxx7n,181,31,194,208,82,215,69,44
ck7okdr2keupm073127bbhntu,166,29,157,211,36,197,50,24
ck7okfcjiye6q0874ckgha5ws,145,10,171,160,75,178,50,28
ck7okg475ezu20731njuvnr46,148,38,148,177,63,177,67,38
ck7okhedg671s0812esb1ljgy,179,23,179,215,59,215,59,23
ck7oki3ggu6ma0752pl3g9v70,161,46,157,177,72,173,76,38
ck7okkvj2ubte0752vzkq7evf,174,0,174,197,47,203,32,3
ck7okljkqfa0707316jtjfmw0,153,28,162,211,48,216,39,38
